surface	journey	journey_definition	screen_or_route	cta_action	actor	frontend_source_path	frontend_line	request_method_path_or_socket	request_payload_fields	backend_source_path	backend_line	backend_controller_service_dto_schema_state	ownership_role_checks	price_stock_provider_insurance_source	payment_trigger_and_state	provider_admin_step	result_report_notification	happy_state	unauth_state	wrong_role_state	owner_stranger_state	validation_state	error_state	loading_state	empty_state	retry_state	cancel_refund_state	evidence_classification	evidence_note
provider	Settings/Accessibility/Location	language/RTL/accessibility → map/location/emergency → notification	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	23	'pharmacy', 'payment', 'location', 'emergency', 'view_health', 'book_for',	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/family/family.service.ts:23` are static only; no runtime proof.
admin	Pharmacy	cart → submit request → broadcast → offers → chosen pharmacy → cash/card or COD policy, or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	src/pages/lab-services/index.tsx	MISSING_CAPABILITY	admin	src/pages/lab-services/index.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/pharmacy/services/smart-split.service.ts	4	* Persists full explainability snapshot on the order's split_decision field.	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/lab-services/index.tsx:` and backend anchor `src/modules/pharmacy/services/smart-split.service.ts:4` are static only; no runtime proof.
admin	Consultation	online/clinic/home → doctor → slot → cash confirmation or insurance request/decision/co-pay/payment → reschedule/cancel/no-show/video/report	src/pages/lab-services/index.tsx	MISSING_CAPABILITY	admin	src/pages/lab-services/index.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/livekit/livekit.service.ts	7	import { APPT_STATES } from '../../schemas/appointment.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/lab-services/index.tsx:` and backend anchor `src/modules/livekit/livekit.service.ts:7` are static only; no runtime proof.
admin	Labs	home/center → lab provider → slot → cash confirmation or insurance decision/co-pay → execution → result/report/PHI	src/pages/lab-services/index.tsx	export default function LabServicesPage({ items }: { items: any[] }) {	admin	src/pages/lab-services/index.tsx	4	const items = await fetchDirectory('/labs/services');	Static payload extraction required; not inferred when absent	src/modules/labs/lab-pdf.service.ts	9	export class LabPdfService {	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	RUNTIME_REQUIRED	Frontend anchor `src/pages/lab-services/index.tsx:4` and backend anchor `src/modules/labs/lab-pdf.service.ts:9` are static only; no runtime proof.
admin	Radiology	home/center → radiology provider → slot → cash confirmation or insurance decision/co-pay → execution → report/PHI	src/pages/lab-services/index.tsx	MISSING_CAPABILITY	admin	src/pages/lab-services/index.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/lab-services/index.tsx:` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
admin	Nursing/Home-care	home service → provider/visit → cash confirmation or insurance decision/co-pay → execution → report/cancel	src/pages/home-care-services/index.tsx	type: 'home-care-service', icon: '',	admin	src/pages/home-care-services/index.tsx	8	const items = await fetchDirectory('/home-care/services');	Static payload extraction required; not inferred when absent	src/modules/provider/simulated-features.controller.ts	11	import { HomeCareBooking, HomeCareBookingState, NursingVisitReport } from '../../schemas/home-care.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	RUNTIME_REQUIRED	Frontend anchor `src/pages/home-care-services/index.tsx:8` and backend anchor `src/modules/provider/simulated-features.controller.ts:11` are static only; no runtime proof.
admin	Identity/OTP/Roles	login/register → OTP/session → ownership/role boundary → logout/revocation	src/pages/login.tsx	import { startAuthentication } from '@simplewebauthn/browser';	admin	src/pages/login.tsx	4	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/provider/services/provider-auth.service.ts	1	import { Injectable, BadRequestException, ConflictException, NotFoundException, UnauthorizedException, Logger, Inject } from '@nestjs/common';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/login.tsx:4` and backend anchor `src/modules/provider/services/provider-auth.service.ts:1` are static only; no runtime proof.
admin	Family/Health	family/delegation/consent → health record/vitals/maternity/mental health → notification	src/pages/lab-services/index.tsx	MISSING_CAPABILITY	admin	src/pages/lab-services/index.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	16	"import { FamilyGroupRepository } from ""./repositories/familygroup.repository"";"	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/lab-services/index.tsx:` and backend anchor `src/modules/family/family.service.ts:16` are static only; no runtime proof.
admin	Prescription/Chat/Support	prescription/read/upload → chat/support/community → notification/result	src/pages/api/hello.ts	// Next.js API route support: https://nextjs.org/docs/api-routes/introduction	admin	src/pages/api/hello.ts	1	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/api/hello.ts:1` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
admin	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	src/pages/lab-services/index.tsx	MISSING_CAPABILITY	admin	src/pages/lab-services/index.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/wallet/wallet.service.ts	5	import { WalletDocument, WalletTransactionDocument } from '../../schemas/wallet.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/lab-services/index.tsx:` and backend anchor `src/modules/wallet/wallet.service.ts:5` are static only; no runtime proof.
admin	Settings/Accessibility/Location	language/RTL/accessibility → map/location/emergency → notification	src/pages/lab-services/index.tsx	MISSING_CAPABILITY	admin	src/pages/lab-services/index.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	23	'pharmacy', 'payment', 'location', 'emergency', 'view_health', 'book_for',	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/pages/lab-services/index.tsx:` and backend anchor `src/modules/family/family.service.ts:23` are static only; no runtime proof.
