commit,short_commit,subject_claim,added_lines,deleted_lines,added_file_count,modified_file_count,static_scope_observed,static_construct_evidence,changed_paths,assessment,boundary
143c98db0661d39564df492ab4b6600fc498b36f,143c98d,"feat(P3): 9 governed provider endpoints (insurance-decision, coverage-decision x3, CRM, referrals/mine, technicians roster, claims actions, reports/inbound, availability round-trip) + shifts PATCH/DELETE — e2e gate 13/13 on live server",869,1,2,2,backend_source;test_artifacts,,A	backend/e2e/provider-production.js;M	backend/src/app.module.ts;M	backend/src/modules/facility-ops/facility-ops.module.ts;A	backend/src/modules/provider-production/provider-production.module.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
f10ea7fe4dbe580832de7bca3f99ae22531c29f2,f10ea7f,fix(J-review): hospital-staff ownership write path (strict-mode strip re-broke access) + review verdict with 5 mandatory follow-ups,1763,42,5,16,backend_source;web_bff_routes;web_ui;test_artifacts;documentation,,A	REVIEW_VERDICT.md;A	backend/e2e/package-lock.json;M	backend/package-lock.json;M	backend/package.json;M	backend/src/modules/hospital-staff/hospital-staff.module.ts;A	backend/test/a-enterprise.integration.e2e-spec.ts;M	patient-web/app/[locale]/chat/[threadId]/page.tsx;M	patient-web/app/[locale]/community/page.tsx;M	patient-web/app/[locale]/family/family-ssr.test.ts;M	patient-web/app/[locale]/family/page.tsx;M	patient-web/app/[locale]/pharmacy/offers/page.tsx;M	patient-web/app/api/ai/route.ts;M	patient-web/app/api/auth/session/route.ts;M	patient-web/app/api/drug-scanner/route.ts;A	patient-web/app/api/family/members/route.ts;M	patient-web/app/api/settings/route.ts;M	patient-web/components-next/family-manage-panel.tsx;A	patient-web/components-next/offer-select-button.tsx;M	patient-web/components-next/push-enable.tsx;M	patient-web/lib/api/chat.ts;M	patient-web/pnpm-lock.yaml,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
703053558a8c9464d4c9d6ff90ce0045f498bd18,7030535,"test(enterprise): REAL integration gate 18/18 — boots AdminEnterpriseModule on in-memory Mongo, probes A1→A7 over HTTP",216,58,0,11,backend_source;test_artifacts,,M	backend/src/common/permissions.ts;M	backend/src/common/rbac.ts;M	backend/src/modules/admin-enterprise/admin-security.controller.ts;M	backend/src/modules/auth/auth.service.spec.ts;M	backend/src/modules/auth/patient-web-auth.contract.spec.ts;M	backend/src/modules/insurance-engine/tests/insurance-flow.spec.ts;M	backend/src/modules/labs/labs.service.spec.ts;M	backend/src/modules/pharmacy/schemas/pharmacy.schema.ts;M	backend/src/modules/pharmacy/services/pharmacy-allocation.service.ts;M	backend/src/modules/pharmacy/services/pharmacy-orders-provider.service.ts;M	backend/test/a-enterprise.integration.e2e-spec.ts;D	patient-web/tests/express5-compatibility.test.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
265a133d89c3b084151d801ac10e8cf77cc3d02e,265a133,"feat(segments): dynamic audiences (plan E) — pure DSL→Mongo compiler with privacy fence, preview/count/members endpoints, audit; 6/6 unit tests",280,4,3,2,backend_source;test_artifacts,,M	backend/src/modules/admin-enterprise/admin-enterprise.module.ts;A	backend/src/modules/admin-enterprise/admin-segments.controller.ts;A	backend/src/modules/admin-enterprise/segments.engine.ts;M	backend/src/modules/pharmacy/schemas/pharmacy.schema.ts;A	backend/test/a4-segments.spec.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
5ab5beec72672834b6064e47e522e4e6a379c027,5ab5bee,fix(web-security): bookings BFF idempotency + compare route CSRF gate,16,7,0,3,web_bff_routes;web_ui,,M	patient-web/app/api/bookings/[kind]/route.ts;M	patient-web/app/api/medicines/compare/route.ts;M	patient-web/components-next/service-booking-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
91cf09a316686988e4e4cceebcec1150263b3348,91cf09a,test(web): align suites with fail-closed CSRF and I-wave1 indexing policy,31,14,0,8,test_artifacts,,M	patient-web/app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts;M	patient-web/app/api/appointments/[appointmentId]/cancel/route.test.ts;M	patient-web/app/api/appointments/[appointmentId]/payment-intent/route.test.ts;M	patient-web/app/api/appointments/[appointmentId]/reschedule/route.test.ts;M	patient-web/app/api/appointments/book/route.test.ts;M	patient-web/app/api/auth/otp/otp-routes.test.ts;M	patient-web/app/seo.test.ts;M	patient-web/tests/proxy.test.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
3b5218f4818072ecb9538944bd471e6c8e7cd518,3b5218f,"docs: quality+security gate results — tsc/tests green both apps, audit fixes, explicit remaining decisions",14,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c92a03bbc298b5266f832b97f1a215c3bf31b877,c92a03b,"docs: admin session review verdict — approved, 4 GO-gate items remain",317,22,2,5,backend_source;web_bff_routes;test_artifacts;documentation,,A	REVIEW_VERDICT_ADMIN.md;A	backend/e2e/pharmacy-scenarios.js;M	backend/src/modules/pharmacy/services/pharmacy-allocation.service.ts;M	backend/src/modules/pharmacy/services/pharmacy-broadcast.service.ts;M	backend/src/modules/pharmacy_ops/pharmacy_ops.controller.ts;M	backend/src/modules/pharmacy_ops/pharmacy_ops.module.ts;M	patient-web/app/api/appointments/book/route.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c977233ed9c49d20e1765f640c7b08714d0be3dc,c977233,feat(go-gate#3): wire seo_controls into robots()/sitemap() — blocked entity types vanish from sitemap and get explicit Disallow lines,166,12,2,6,backend_source;test_artifacts;documentation,,M	REVIEW_VERDICT_ADMIN.md;M	backend/src/modules/admin-enterprise/admin-enterprise.module.ts;M	backend/src/modules/admin-enterprise/admin-ops.controller.ts;A	backend/src/modules/seo/seo-controls.util.ts;M	backend/src/modules/seo/seo.controller.ts;M	backend/src/modules/seo/seo.service.ts;M	backend/test/a-enterprise.integration.e2e-spec.ts;A	backend/test/go3-seo-controls.spec.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
9502dd5ecfd65a95488e6c5fc5bfd52388815257,9502dd5,feat(H+20): REST chat fanout to WS room + monthly health report endpoint,87,1,0,3,backend_source,,M	backend/src/modules/chat/chat.gateway.ts;M	backend/src/modules/health/health.controller.ts;M	backend/src/modules/health/health.service.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
d53092e11e1c480f646201ff307ab0872773a34d,d53092e,feat(H-web): chat realtime via socket.io + attachments end-to-end (parity #13 complete),335,28,4,6,web_bff_routes;web_ui;ci_or_deployment_config,,M	patient-web/app/[locale]/chat/[threadId]/page.tsx;A	patient-web/app/api/chat/threads/[threadId]/media/route.ts;M	patient-web/app/api/chat/threads/[threadId]/messages/route.ts;A	patient-web/app/api/chat/threads/[threadId]/rt-token/route.ts;A	patient-web/app/api/media/[mediaId]/url/route.ts;M	patient-web/components-next/chat-composer.tsx;A	patient-web/components-next/chat-realtime.tsx;M	patient-web/package.json;M	patient-web/pnpm-lock.yaml;M	patient-web/proxy.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
2af681b328ea0f867d0be17df045ebf4edc0baed,2af681b,feat(F-web): security re-auth — password rotation + 2FA toggles (parity #28 complete),152,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/settings/security/page.tsx;A	patient-web/app/api/settings/security/route.ts;A	patient-web/components-next/security-forms.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
65cb86e64ad66525aaaa323f9990e4645cccc685,65cb86e,feat(I-web): monthly report page + trends sparklines (parity #20/I completion),134,8,1,2,web_ui,,A	patient-web/app/[locale]/health/monthly-report/page.tsx;M	patient-web/app/[locale]/health/page.tsx;M	patient-web/app/[locale]/health/trends/page.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
7ba7501657cd7a5c8a4a83fa90b9fc3e148a391e,7ba7501,"feat(P5-P7): vertical lifecycle gate 9/9 — lab sample chain→REPORTED+TAT, radiology coverage/report-phases with enum-valid mirror + secure storage, nursing geofence visit chain, ambulance dispatch→ledger; fixes radiology partial-approval mirror enum",272,3,1,1,backend_source;test_artifacts,,A	backend/e2e/provider-verticals.js;M	backend/src/modules/provider-production/provider-production.module.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c1c14cbd20edfd1b4aa28d590dd5ed7afa31e14e,c1c14cb,feat(G-web): server loyalty redeem-quote on pharmacy pay (G completion),17,1,0,1,web_ui,,M	patient-web/app/[locale]/pharmacy/pay/page.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
a56321cc3753e80fcc287c05a68a75ee97afde01,a56321c,docs: completion batch recorded — parity #13/#28/#20/G fully closed; remaining = owner decision + gate J,11,36,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
0c97a2affe00caa5ba7535ae66336c46ad2d5c4b,0c97a2a,"feat(P9): master gate runner — GO verdict across contracts(7), ZERO-MOCK+app-contracts(14), e2e P3(13)/P4(8)/P5-P7(9)",53,0,1,0,backend_source;test_artifacts,,A	backend/e2e/run-all-gates.js,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
109fd89393ba99b8599760f5c7974364df5bfaff,109fd89,"docs: PROVIDER_PRODUCTION_PLAN P1-P9 execution record — all gates green, structural fixes, run instructions",27,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
51a84c76a690f30baac8b4bb3df6ab575aad4520,51a84c7,feat(go-gate#2): mail smoke tool — one command proves key+domain+CSV attachment over the production Resend→SES path,93,1,1,1,backend_source;documentation,,M	REVIEW_VERDICT_ADMIN.md;A	backend/scripts/mail-smoke.js,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
