confirmed_root_label	raw_ids	final_root_id	exact_evidence	cause_statement	business_rule	owner	derived_ids	disposition	reviewer_note
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_EVENTS_STRICT_FINITE_NUMERIC_TIME_LIMIT_VALIDATION	F-3027	R-09C	src/modules/events/events.controllers.ts:19–23	Administrative event/trace reads lack typed normalized event/entity filters, finite time/limit/cursor/order/timeout bounds, cross-domain purpose scope, redacted before/after metadata and sensitive-read audit trail.	Event administration uses allowlisted typed normalized filters, stable bounded cursor/time/query contract, actor/purpose/domain scope, minimum redacted metadata and immutable sensitive-read audit; it is a read surface, not event production authority.	Event Platform + Admin Privacy/Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; durable domain event/outbox lifecycle remains R-09A/R-16 and no event query or runtime operation was run.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_EVENT_TRACE_TYPED_ENTITY_CURSOR_TIME_BOUND_CONTRACT	F-3030	R-09C	src/modules/events/events.controllers.ts:26–29	Administrative event/trace reads lack typed normalized event/entity filters, finite time/limit/cursor/order/timeout bounds, cross-domain purpose scope, redacted before/after metadata and sensitive-read audit trail.	Event administration uses allowlisted typed normalized filters, stable bounded cursor/time/query contract, actor/purpose/domain scope, minimum redacted metadata and immutable sensitive-read audit; it is a read surface, not event production authority.	Event Platform + Admin Privacy/Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; durable domain event/outbox lifecycle remains R-09A/R-16 and no event query or runtime operation was run.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_FORCE_DOMAIN_STATE_PAYMENT_SAGA_BYPASS	F-816	R-21G	src/modules/admin-authority/admin-authority.module.ts:50–83	Admin authority bypasses canonical domain/payment/slot state or lacks short-lived revocable support impersonation, target case/approval scope, provider suspension reconciliation and minimum action-log projection.	Privileged support/override actions require a time-bound revocable support session, approved target case, canonical domain command/state/version checks, dual control/reason/audit/reconciliation and minimum scoped action-log views; no direct mutation shortcut is allowed.	Admin Authority + Domain Owners + Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; underlying booking/payment/provider domain aggregates remain execution authorities.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_FORCE_RESCHEDULE_SLOT_CAPACITY_PAYMENT_BYPASS	F-818	R-21G	src/modules/admin-authority/admin-authority.module.ts:173–184	Admin authority bypasses canonical domain/payment/slot state or lacks short-lived revocable support impersonation, target case/approval scope, provider suspension reconciliation and minimum action-log projection.	Privileged support/override actions require a time-bound revocable support session, approved target case, canonical domain command/state/version checks, dual control/reason/audit/reconciliation and minimum scoped action-log views; no direct mutation shortcut is allowed.	Admin Authority + Domain Owners + Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; underlying booking/payment/provider domain aggregates remain execution authorities.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_FORCE_RESOLUTION_SAGA	F-755	R-21G	src/modules/booking-flow/booking-flow.module.ts:202–229	Administrative force resolution bypasses canonical booking state/settlement saga controls.	Any force resolution is a dual-controlled case-bound admin command that invokes canonical booking transition and settlement orchestration, records immutable reason/audit and reconciles failure.	Admin Authority + Booking/Finance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual privileged override root; booking/payment aggregates retain execution authority.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_FORCE_RESOLUTION_STATE_SETTLEMENT	F-757	R-21G	src/modules/booking-flow/booking-flow.module.ts:209–228	Administrative force resolution bypasses canonical booking state/settlement saga controls.	Any force resolution is a dual-controlled case-bound admin command that invokes canonical booking transition and settlement orchestration, records immutable reason/audit and reconciles failure.	Admin Authority + Booking/Finance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual privileged override root; booking/payment aggregates retain execution authority.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_INSURANCE_OVERRIDE_DECISION_COPAY_SETTLEMENT_BYPASS	F-817	R-04A1	src/modules/admin-authority/admin-authority.module.ts:106–145	Admin insurance override bypasses canonical decision, co-pay and settlement chain.	Insurance override follows the same canonical provider/policy full/partial/reject decision and co-pay/settlement workflow with approved exceptional authority, no direct bypass.	Insurance Orchestration + Admin Authority	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to insurance decision root.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_METRIC_MISSING_HISTORY_UNKNOWN_SEMANTICS	F-658	R-21C	src/modules/admin-governance/admin-governance.module.ts:38–63,115–120	Admin metric summary uses missing history/default collection outcomes as counts without explicit unknown/completeness/window/source semantics.	Admin operational read models resolve canonical identities and source metadata, enforce purpose/role/scope, expose only redacted minimum PHI/financial projections with bounded cursor/time windows and explicit freshness/completeness/unknown state; they never create domain truth.	Admin Operations + SRE + Privacy	F-648,F-650,F-656	FINAL_MAPPED	Manual mapping from frozen backend archive. Entity trace F-647 and privileged kill-switch role/approval F-651 retain their existing R-02A mappings. No patient, event, metric, switch, configuration or runtime operation was accessed.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_OPERATIONAL_METRICS_TRUTH_COMPLETENESS	F-974	R-21C	src/modules/compat/admin-spa.module.ts:53–109	Admin operational metrics lack declared source completeness/freshness/confidence truth.	Admin operational dashboards are read-models with source metadata, explicit freshness/completeness/confidence and no fabricated universal status.	Admin Operations	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to admin read-model root.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_ORDER_REASSIGNMENT_DISPATCH_RECONCILIATION	F-981	R-11A	src/modules/compat/admin-spa.module.ts:497–525	Driver location, shift, delivery assignment/reassignment and delivery quote policies lack verified relationship/eligibility, atomic claim, telemetry validation and versioned durable fulfillment truth.	Driver/delivery operations require active authorized shift and order relationship, validated fresh/consented telemetry, atomic assignment/reassignment with capacity/geography checks, versioned quote policy and durable pickup/delivery transitions with audit.	Driver/Delivery Operations + Privacy	F-535,F-540	FINAL_MAPPED	Manual mapping; media proof is R-07B/R-11B, finance earnings is R-05, and realtime/event transport is separate.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_PHARMACY_REASSIGN_OFFER_ELIGIBILITY_BYPASS	F-820	R-06C1	src/modules/admin-authority/admin-authority.module.ts:73–83	Admin pharmacy reassignment bypasses offer eligibility/selection contract.	Pharmacy reassignment preserves authoritative offer eligibility, selected provider, price/stock and patient decision/consent, with explicit approved exception and audit.	Pharmacy Marketplace + Admin Authority	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to pharmacy cart/offer/order saga root.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_SHIFT_MEMBERSHIP_OVERLAP_TIMEZONE	F-976	R-23B	src/modules/compat/admin-spa.module.ts:197–220	Admin shift commands lack membership overlap/timezone truth.	Facility shifts validate staff relationship, interval overlap and timezone with authoritative state/audit.	Facility Operations	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to facility resource lifecycle root.
CONFIRMED_ROOT_CODE_DEFECT_ADMIN_USER_PROVIDER_BAN_APPROVE_SUSPEND_CANONICAL_STATE_OUTBOX_SESSION_REVOCATION	F-321	R-21G	src/modules/admin/admin.controller.ts:457–484,529–552	Admin ban/approval/suspension lacks canonical state, durable outbox and session revocation lifecycle.	Privileged enforcement follows canonical state/version transition with actor/reason, durable event/outbox, session revocation and reconciliation.	Admin Authority + Identity	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual privileged enforcement root.
CONFIRMED_ROOT_CODE_DEFECT_ANALYTICS_CANONICAL_DOCTOR_PROVIDER_IDENTITY_PROJECTION	F-740	R-21E	src/modules/analytics/analytics.module.ts:39–46	Analytics lacks bounded query/resource controls, canonical provider identity and funnel/state vocabulary, consented/provenanced activity taxonomy, UTC retention/cohort source, materialized workload isolation and explicit unknown metric/schema health states.	Analytics is a bounded read-model with typed finite query limits, canonical identities/state vocabulary, consented event taxonomy/provenance, explicit retention/time semantics, materialized/isolated workloads and declared unknown/freshness/confidence rather than fabricated metrics.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; sensitive search-term policy is already R-12B/R-13 dependency, while settled financial metrics belong to R-05D.
CONFIRMED_ROOT_CODE_DEFECT_ANALYTICS_MATERIALIZED_BOUNDED_QUERY_TIMEOUT_WORKLOAD_ISOLATION	F-746	R-21E	src/modules/analytics/analytics.module.ts:18–116	Analytics lacks bounded query/resource controls, canonical provider identity and funnel/state vocabulary, consented/provenanced activity taxonomy, UTC retention/cohort source, materialized workload isolation and explicit unknown metric/schema health states.	Analytics is a bounded read-model with typed finite query limits, canonical identities/state vocabulary, consented event taxonomy/provenance, explicit retention/time semantics, materialized/isolated workloads and declared unknown/freshness/confidence rather than fabricated metrics.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; sensitive search-term policy is already R-12B/R-13 dependency, while settled financial metrics belong to R-05D.
CONFIRMED_ROOT_CODE_DEFECT_ANALYTICS_RETENTION_UTC_YEAR_COHORT_ACTIVITY_SOURCE	F-744	R-21E	src/modules/analytics/analytics.module.ts:99–107	Analytics lacks bounded query/resource controls, canonical provider identity and funnel/state vocabulary, consented/provenanced activity taxonomy, UTC retention/cohort source, materialized workload isolation and explicit unknown metric/schema health states.	Analytics is a bounded read-model with typed finite query limits, canonical identities/state vocabulary, consented event taxonomy/provenance, explicit retention/time semantics, materialized/isolated workloads and declared unknown/freshness/confidence rather than fabricated metrics.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; sensitive search-term policy is already R-12B/R-13 dependency, while settled financial metrics belong to R-05D.
CONFIRMED_ROOT_CODE_DEFECT_ANALYTICS_SCHEMA_FIELD_STATUS_METRIC_HEALTH_UNKNOWN_STATE_DEFENSE	F-748	R-21E	src/modules/analytics/analytics.module.ts:16–116	Analytics lacks bounded query/resource controls, canonical provider identity and funnel/state vocabulary, consented/provenanced activity taxonomy, UTC retention/cohort source, materialized workload isolation and explicit unknown metric/schema health states.	Analytics is a bounded read-model with typed finite query limits, canonical identities/state vocabulary, consented event taxonomy/provenance, explicit retention/time semantics, materialized/isolated workloads and declared unknown/freshness/confidence rather than fabricated metrics.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; sensitive search-term policy is already R-12B/R-13 dependency, while settled financial metrics belong to R-05D.
CONFIRMED_ROOT_CODE_DEFECT_ANALYTICS_STRICT_FINITE_POSITIVE_MAX_LIMIT_DTO	F-738	R-21E	src/modules/analytics/analytics.module.ts:120–143	Analytics lacks bounded query/resource controls, canonical provider identity and funnel/state vocabulary, consented/provenanced activity taxonomy, UTC retention/cohort source, materialized workload isolation and explicit unknown metric/schema health states.	Analytics is a bounded read-model with typed finite query limits, canonical identities/state vocabulary, consented event taxonomy/provenance, explicit retention/time semantics, materialized/isolated workloads and declared unknown/freshness/confidence rather than fabricated metrics.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; sensitive search-term policy is already R-12B/R-13 dependency, while settled financial metrics belong to R-05D.
CONFIRMED_ROOT_CODE_DEFECT_APPROVAL_PENDING_QUEUE_CURSOR_SCOPE_PROJECTION	F-2831	R-16D	src/modules/approval-workflow/approval-workflow.module.ts:61–63	Approval-workflow requests lack a consistent typed actor/owner boundary, versioned atomic allocation, immutable allowlisted change data, exhaustive service/entity routing, fail-closed unknown type, safe PHI attachment provenance, durable publication outbox and scoped queue projections.	Approval requests use typed authenticated actor and owner/admin scope, version/CAS allocation, allowlisted immutable entity change sets, exhaustive fail-closed routing, approved safe attachments, durable publication/outbox and minimum necessary cursor-paginated request views with audit.	Approval Workflow + Domain Owners + Privacy	F-2823,F-2829	FINAL_MAPPED	Manual mapping; legal consent evidence is R-24A, catalog publication business policy is R-12/R-21, and execution remains an owning-domain command.
CONFIRMED_ROOT_CODE_DEFECT_APPROVAL_PUBLICATION_ENTITY_REQUEST_OUTBOX_SAGA	F-2827	R-16D	src/modules/approval-workflow/approval-workflow.module.ts:117–164	Approval-workflow requests lack a consistent typed actor/owner boundary, versioned atomic allocation, immutable allowlisted change data, exhaustive service/entity routing, fail-closed unknown type, safe PHI attachment provenance, durable publication outbox and scoped queue projections.	Approval requests use typed authenticated actor and owner/admin scope, version/CAS allocation, allowlisted immutable entity change sets, exhaustive fail-closed routing, approved safe attachments, durable publication/outbox and minimum necessary cursor-paginated request views with audit.	Approval Workflow + Domain Owners + Privacy	F-2823,F-2829	FINAL_MAPPED	Manual mapping; legal consent evidence is R-24A, catalog publication business policy is R-12/R-21, and execution remains an owning-domain command.
CONFIRMED_ROOT_CODE_DEFECT_APPROVAL_REQUEST_VERSION_ATOMIC_ALLOCATION	F-2824	R-16D	src/modules/approval-workflow/approval-workflow.module.ts:41–58	Approval-workflow requests lack a consistent typed actor/owner boundary, versioned atomic allocation, immutable allowlisted change data, exhaustive service/entity routing, fail-closed unknown type, safe PHI attachment provenance, durable publication outbox and scoped queue projections.	Approval requests use typed authenticated actor and owner/admin scope, version/CAS allocation, allowlisted immutable entity change sets, exhaustive fail-closed routing, approved safe attachments, durable publication/outbox and minimum necessary cursor-paginated request views with audit.	Approval Workflow + Domain Owners + Privacy	F-2823,F-2829	FINAL_MAPPED	Manual mapping; legal consent evidence is R-24A, catalog publication business policy is R-12/R-21, and execution remains an owning-domain command.
CONFIRMED_ROOT_CODE_DEFECT_APPROVAL_WORKFLOW_UNKNOWN_SERVICE_TYPE_FAIL_CLOSED	F-2826	R-16D	src/modules/approval-workflow/approval-workflow.module.ts:142–152	Approval-workflow requests lack a consistent typed actor/owner boundary, versioned atomic allocation, immutable allowlisted change data, exhaustive service/entity routing, fail-closed unknown type, safe PHI attachment provenance, durable publication outbox and scoped queue projections.	Approval requests use typed authenticated actor and owner/admin scope, version/CAS allocation, allowlisted immutable entity change sets, exhaustive fail-closed routing, approved safe attachments, durable publication/outbox and minimum necessary cursor-paginated request views with audit.	Approval Workflow + Domain Owners + Privacy	F-2823,F-2829	FINAL_MAPPED	Manual mapping; legal consent evidence is R-24A, catalog publication business policy is R-12/R-21, and execution remains an owning-domain command.
CONFIRMED_ROOT_CODE_DEFECT_APP_RUNTIME_CAPABILITY_ENVIRONMENT_GRAPH_ISOLATION	F-1302	R-15G	src/app.module.ts:135–256	AppModule composes a broad static graph of production, compatibility, operations and feature modules without a reviewed environment capability/isolation contract, so module activation/dependency expectations cannot be established from an explicit per-environment manifest.	Each declared environment/dependency mode has an explicit allowlist, required configuration, bounded startup deadline and fail-closed outcome. The process must not continue with a substituted, local, unknown or partially initialized datastore after a requested dependency fails; a startup outcome is not readiness proof.	SRE/Platform + Backend Bootstrap + Domain owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from frozen baseline source. Targeted derived search found no directly matching DERIVED_DUPLICATE labels. No server bootstrap, database, Sentry event, telemetry payload, production data, secret or runtime service was accessed.
CONFIRMED_ROOT_CODE_DEFECT_AUDIT_CURSOR_PAGINATION_QUERY_BUDGET	F-855	R-22G	src/modules/security/security.module.ts:19–53	Audit/security logging lacks durable append-safe persistence, classified/redacted details, bounded regex/cursor/query budgets, purpose-safe admin/patient projections, trusted correlation normalization and URL-query redaction.	Audit data is append-durable and tamper-evident with classified/redacted fields; reads are purpose-scoped minimum projections with bounded query/cursor controls and access audit; correlation IDs and URL/query metadata are normalized/trusted/redacted before logging.	Security/Audit Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no audit log, user activity or request data was accessed.
CONFIRMED_ROOT_CODE_DEFECT_BOOKING_FLOW_PROVIDER_OWNERSHIP_HEURISTICS	F-749	R-03C	src/modules/booking-flow/booking-flow.module.ts:42–64	Booking flow resolves provider ownership by heuristics rather than authoritative active assignment/capability relationship.	Booking flow resolves provider/facility ownership from canonical active assignment and service capability, never heuristics.	Booking Operations + Provider Governance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual booking command authority root.
CONFIRMED_ROOT_CODE_DEFECT_BOOKING_OPS_CANONICAL_ORCHESTRATION_BYPASS_DECOMMISSION	F-973	R-03C	src/modules/booking-ops/booking-ops.module.ts:2–24,83–150,191–204	Booking-ops commands permit weak domain-owner/facility/provider/license resolution, direct payment/insurance marking, weak DTO enum/payload boundaries and parallel orchestration that bypasses canonical booking authority.	Every booking operation verifies the active domain owner, facility/provider assignment and capability/license, accepts typed command payloads only, and delegates payment/insurance state to canonical R-05/R-04 contracts; parallel bypass routes are decommissioned or reconciled.	Booking Operations + Care + Identity	F-970	FINAL_MAPPED	Manual mapping; financial settlement and insurance decision retain authority in R-05/R-04, not in booking-ops commands.
CONFIRMED_ROOT_CODE_DEFECT_BOOKING_PROGRESS_EVENT_STATE_TRUTH	F-750	R-03B	src/modules/booking-flow/booking-flow.module.ts:103–169	Booking progress/retry behavior can report false success or lacks canonical state/idempotency outcome contract.	Booking progress and retry use canonical transition state/version/idempotency with durable truthful outcome and reconciliation rather than client/local success.	Booking Lifecycle	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual booking transition/retry root.
CONFIRMED_ROOT_CODE_DEFECT_BOOKING_RETRY_FALSE_SUCCESS	F-753	R-03B	src/modules/booking-flow/booking-flow.module.ts:183–200	Booking progress/retry behavior can report false success or lacks canonical state/idempotency outcome contract.	Booking progress and retry use canonical transition state/version/idempotency with durable truthful outcome and reconciliation rather than client/local success.	Booking Lifecycle	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual booking transition/retry root.
CONFIRMED_ROOT_CODE_DEFECT_BOOKING_RETRY_IDEMPOTENCY	F-754	R-03B	src/modules/booking-flow/booking-flow.module.ts:183–200,232–240	Booking progress/retry behavior can report false success or lacks canonical state/idempotency outcome contract.	Booking progress and retry use canonical transition state/version/idempotency with durable truthful outcome and reconciliation rather than client/local success.	Booking Lifecycle	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual booking transition/retry root.
CONFIRMED_ROOT_CODE_DEFECT_BUSINESS_RULES_ADMIN_SEPARATION	F-920	R-21A	src/modules/business-rules/business-rules.module.ts:167–179	Business-rules policy evaluation trusts caller context, lacks persisted/versioned surge/eligibility/capability authority and fail-closed missing/invalid inputs, can issue nonauthoritative pricing/payment results, and lacks admin separation/concurrency/redacted projection enforcement.	Business policy evaluation receives authoritative typed context only, is versioned/persisted and concurrency-safe, fails closed for unknown/missing eligibility/capability/payment inputs, returns bounded/redacted explainable results, and is enforced at owning commands with separated policy administration.	Business Policy Platform + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; insurance, payment, pricing, provider capability and booking aggregates retain authority for their own decisions and settlements.
CONFIRMED_ROOT_CODE_DEFECT_BUSINESS_RULE_PRICING_AUTHORITY	F-914	R-21A	src/modules/business-rules/business-rules.module.ts:100–122	Business-rules policy evaluation trusts caller context, lacks persisted/versioned surge/eligibility/capability authority and fail-closed missing/invalid inputs, can issue nonauthoritative pricing/payment results, and lacks admin separation/concurrency/redacted projection enforcement.	Business policy evaluation receives authoritative typed context only, is versioned/persisted and concurrency-safe, fails closed for unknown/missing eligibility/capability/payment inputs, returns bounded/redacted explainable results, and is enforced at owning commands with separated policy administration.	Business Policy Platform + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; insurance, payment, pricing, provider capability and booking aggregates retain authority for their own decisions and settlements.
CONFIRMED_ROOT_CODE_DEFECT_CANCELLATION_PENALTY_BOOKING_PAYMENT_AUTHORITY	F-808	R-03B	src/modules/operations-safety/operations-safety.module.ts:102–114	Cancellation penalty creation lacks canonical booking transition/payment authority and uniqueness/idempotency.	Cancellation triggers only from canonical authorized booking state transition; penalty is unique/idempotent and delegates any financial calculation/settlement to the authoritative policy/ledger.	Booking Lifecycle + Finance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to booking cancellation root with financial dependency retained in R-05.
CONFIRMED_ROOT_CODE_DEFECT_CANCELLATION_PENALTY_UNIQUENESS_IDEMPOTENCY	F-809	R-03B	src/modules/operations-safety/operations-safety.module.ts:102–114	Cancellation penalty creation lacks canonical booking transition/payment authority and uniqueness/idempotency.	Cancellation triggers only from canonical authorized booking state transition; penalty is unique/idempotent and delegates any financial calculation/settlement to the authoritative policy/ledger.	Booking Lifecycle + Finance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to booking cancellation root with financial dependency retained in R-05.
CONFIRMED_ROOT_CODE_DEFECT_CANCELLATION_POLICY_UNKNOWN_STATE_FAIL_OPEN	F-101	R-03B	src/modules/finance-engine/finance-engine.module.ts:687–706	Cancellation policy fails open on unknown state.	Cancellation evaluates only explicit canonical booking states and fails closed on unknown/missing policy/state, with downstream finance handled by canonical settlement.	Booking Lifecycle + Finance	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to booking cancellation root.
CONFIRMED_ROOT_CODE_DEFECT_CANONICAL_IDENTIFIER_TENANT_RESOLUTION	F-958	R-02A	src/modules/compat/compat.module.ts:30–38,482–487,535–539,763–767,1037–1051	Canonical identifier resolution lacks tenant/relationship scope.	Identifier resolution is typed canonical and tenant/relationship/role scoped before read or command authorization.	Identity/Authorization Platform	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to authorization root.
CONFIRMED_ROOT_CODE_DEFECT_CAREPLAN_PATIENT_SCOPE_AUTHORIZATION	F-515	R-10B	src/modules/home-care/home-care.service.ts:174–190	Care-plan creation and retrieval rely only on broad role checks and patient ID, without a verified assigned encounter/organization/consent subject scope.	Home-care fulfillment uses a canonical assigned booking/encounter context. Care plans, visit reports and supplies require a verified subject-provider/organization relationship, consented minimum clinical schema, versioned state/command ID and immutable author/time audit. Supplies are typed, bounded and linked to the assigned visit/fulfillment state. GPS measurement validity is a separate runtime/external verification gate.	Home-care Fulfillment + Clinical Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from frozen backend archive. Existing booking/assignment mappings remain unchanged; F-516 GPS attendance remains a runtime/policy verification gate. No visit, patient, GPS, supply or runtime operation was accessed.
CONFIRMED_ROOT_CODE_DEFECT_CART_CHECKOUT_ORDER_CART_SAGA	F-781	R-06C1	src/modules/cart/cart.module.ts:190–202	Cart, quote, offer selection and order creation lack one server-authoritative, versioned commercial command saga; legacy cart fields/summary/mutations may override canonical policy.	Pharmacy flow is request broadcast → eligible pharmacy offers → patient selection → server quote/stock validation → explicit cash/card/COD or insurance decision/co-pay; client fields never set price/availability/payment truth.	Pharmacy + Commerce/Booking + Payments	F-025,F-048,F-053,F-057,F-058,F-085,F-2442,F-2553	FINAL_MAPPED	Manual mapping; payment settlement is a dependency R-05A1 and mobile/web screens are derived presentation paths.
CONFIRMED_ROOT_CODE_DEFECT_CART_LEGACY_CONTRACT_POLICY_BYPASS	F-786	R-06C1	src/modules/cart/cart.module.ts:216–222	Cart, quote, offer selection and order creation lack one server-authoritative, versioned commercial command saga; legacy cart fields/summary/mutations may override canonical policy.	Pharmacy flow is request broadcast → eligible pharmacy offers → patient selection → server quote/stock validation → explicit cash/card/COD or insurance decision/co-pay; client fields never set price/availability/payment truth.	Pharmacy + Commerce/Booking + Payments	F-025,F-048,F-053,F-057,F-058,F-085,F-2442,F-2553	FINAL_MAPPED	Manual mapping; payment settlement is a dependency R-05A1 and mobile/web screens are derived presentation paths.
CONFIRMED_ROOT_CODE_DEFECT_CART_NONAUTHORITATIVE_SUMMARY_PRICING	F-777	R-06C1	src/modules/cart/cart.module.ts:62–75	Cart, quote, offer selection and order creation lack one server-authoritative, versioned commercial command saga; legacy cart fields/summary/mutations may override canonical policy.	Pharmacy flow is request broadcast → eligible pharmacy offers → patient selection → server quote/stock validation → explicit cash/card/COD or insurance decision/co-pay; client fields never set price/availability/payment truth.	Pharmacy + Commerce/Booking + Payments	F-025,F-048,F-053,F-057,F-058,F-085,F-2442,F-2553	FINAL_MAPPED	Manual mapping; payment settlement is a dependency R-05A1 and mobile/web screens are derived presentation paths.
CONFIRMED_ROOT_CODE_DEFECT_CATALOG_IMPORT_QUARANTINE_ROLLBACK_AUDIT	F-993	R-12D	src/modules/compat/admin-spa.module.ts:1095–1140	Catalog import lacks quarantine, rollback and audit governance.	Catalog imports are quarantined, validated, versioned and auditable with rollback/reconciliation before public publication.	Commercial Catalog Governance + Release	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual commercial catalog import subroot; release execution remains R-15.
CONFIRMED_ROOT_CODE_DEFECT_CMS_MEDIA_CATALOG_PUBLICATION_GOVERNANCE	F-980	R-12C	src/modules/compat/admin-spa.module.ts:432–495	CMS media catalog publication lacks governed canonical publication lifecycle.	CMS/catalog media publication uses reviewed/versioned readiness, safe asset references and durable reconciled public projection.	Catalog/CMS Governance + Media	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reassignment to public catalog publication root.
CONFIRMED_ROOT_CODE_DEFECT_COMMISSION_UNKNOWN_SERVICE_FAIL_OPEN	F-1514	R-05D	src/modules/legal/legal.module.ts:147–153,199–203	Commission resolution silently defaults unknown service types to 10 percent instead of failing closed against canonical effective-dated service policy.	Commission configuration is a versioned approved commercial policy: one atomic initialized canonical record with typed allowlisted changes, effective dates, maker-checker/actor-reason audit and durable change evidence. All provider/service resolution is fail-closed for unknown scope and uses tenant/purpose-authorized minimum DTOs; derived rates feed canonical settlement/issued invoices only.	Finance/Reporting + Configuration Governance + Privacy	F-1515,F-1517	FINAL_MAPPED	Manual mapping from frozen backend archive. Legal policy/acceptance labels F-1503–F-1510 remain the separate R-24A consent/policy root; F-1518 remains insufficient-evidence. No finance configuration, commission, provider, invoice or runtime operation was accessed.
CONFIRMED_ROOT_CODE_DEFECT_CONSENT_TYPED_VALUE_POLICY_VERSION_EVIDENCE	F-502	R-24A	src/modules/legal/legal-enterprise.controller.ts:125–138 ; src/modules/legal/legal-enterprise.service.ts:365–387	Legal policy and acceptance handling lacks immutable typed consent value/version/artifact evidence, owner/org scope, Arabic artifact fidelity, effective/publication rules, unique idempotent archive lifecycle, device/platform provenance and bounded pending applicability.	Every consent/acceptance records an immutable typed value, policy version/effective artifact digest and authorized subject/organization scope; policy publication is allowlisted/versioned, acceptance is unique/idempotent/archive-durable with device/platform provenance and pending applicability is explicitly bounded/audited.	Legal/Compliance + Privacy	F-1509	FINAL_MAPPED	Manual mapping; family/clinical/insurance consent and generic approval workflow remain specialized roots with legal-evidence dependency where applicable.
CONFIRMED_ROOT_CODE_DEFECT_CONSISTENCY_DUPLICATE_HEURISTIC_NO_DOMAIN_OVERLAP_CONFIDENCE	F-697	R-16F	src/modules/consistency/consistency.module.ts:34–59	Consistency reconciliation uses weak duplicate/invariant/stuck heuristics, lacks bounded coverage/cursor and SLA recovery, and has no durable approved checkpointed job lifecycle.	Consistency work uses explicit per-domain invariants and overlap confidence, bounded resumable coverage, time/SLA recovery classification, durable checkpointed approved jobs and immutable reconciliation evidence; it never infers or changes truth silently.	Platform Reliability + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reconciliation root; source aggregate state remains authoritative and no job was run.
